countyurl	county_en	prefecture_en	province_en	county_cn	prefecture_cn	cntygb00	macroregion	countytype	linksall	linksint	links_chtxt	links_include	2009_gdppc_cny	2010_illiterateprop	sec_2011	mayor_gender	mayor_birth	mayor_2011	mayor_tenure2	mayor_edulevel	mayor_status	pref_ps_2011	pref_ps_edulevel	pref_2010_gdppc	itemploy	county_mediaexp
didao.jixi.gov.cn	Didao	Jixi	Heilongjiang				Central	District	0	0	0	0														
www.xixia.gov.cn	Xichuan	Nanyang	Henan				Central	County	0	0	0	0														
shanxian.smx.gov.cn	Shan	Sanmenxia	Henan				Central	County	0	0	0	0														
www.erqi.gov.cn	Erqi	Zhengzhou	Henan				Central	District	0	0	0	0														
www.xianan.gov.cn	Xian'an	Xianning	Hubei				Central	District	3041	2813	0	0														
www.wl.nc.gov.cn	Wanli	Nanchang	Jiangxi				Central	District	0	0	0	0														
www.bdj.gov.cn	Badaojiang	Baishan	Jilin				Central	District	0	0	0	0														
www.xzqh.org	Hequ	Xinzhou	Shanxi				Central	County	0	0	0	0														
www.chinayn.gov.cn	Xixia	Yinchuan	Ningxia				West	District	0	0	0	0														
www.lasa.gov.cn	Qushui	Lhasa	Tibet				West	County	0	0	0	0														
www.xjshz.gov.cn	Aral	Aral	Xinjiang				West	County	0	0	0	0														
www.mns.gov.cn	Manas	Changji	Xinjiang				West	County	0	0	0	0														
www.xjswx.gov.cn	Shawan	Ili Kazakh	Xinjiang				West	County	0	0	0	0														
www.xjahq.gov.cn	Akqi	Kizilsu Kirghiz	Xinjiang				West	County	0	0	0	0														
