category,group,estimate,lwr,upr
competence,1,0.1161523,0.06997962,0.1590495
competence,2,0.2407357,0.1520206,0.31815
competence,3,0.1951545,0.1467922,0.2443085
competence,4,0.2143917,0.1842688,0.2442699
competence,5,0.2795854,0.2212047,0.3366591
benevolence,1,0.363179,0.30063332,0.4226081
benevolence,2,0.2077548,0.1280171,0.2817187
benevolence,3,0.2250611,0.1800302,0.2677599
benevolence,4,0.1936886,0.156009,0.2299309
benevolence,5,0.1704196,0.1123293,0.2277303
