category,group,estimate,lwr,upr
competence,1,0.1117099,0.15502,0.06478537
competence,2,0.157348,0.1876135,0.1288367
competence,3,0.3584247,0.4096745,0.3029192
benevolence,1,0.3674638,0.4342219,0.29764463
benevolence,2,0.2248757,0.2638851,0.1930439
benevolence,3,0.1570024,0.2104448,0.0925009
