"","countyurl","benev","comp","county_en","prefecture_en","province_en","county_cn","prefecture_cn","cntygb00","macroregion","countytype","linksall","linksint","links_chtxt","links_include","X2009_gdppc_cny","X2010_illiterateprop","sec_2011","mayor_gender","mayor_birth","mayor_2011","mayor_tenure2","mayor_edulevel","mayor_status","pref_ps_2011","pref_ps_edulevel","pref_2010_gdppc","itemploy","county_mediaexp","mayor_first","mayor_last","sec_first","sec_last","pref_ps_first","pref_ps_last","mayor_age","mayor_promote"
"23","www.he.xinhuanet.com.zfwq",0.00390625,0.84765625,"Mengcun","Cangzhou","Hebei","孟村回族自治县","沧州市",130930,"East","County",729,689,256,1,21280.95238,2.950000048,2,"M",NA,3,2,NA,"retired_demoted",2,4,31091,16,9858.544282,0,1,0,0,0,0,NA,0
"24","www.huailai.gov.cn",0.34475374732334,0.199143468950749,"Huailai","Zhangjiakou","Hebei","怀来县","张家口市",130730,"East","County",18012,17064,934,1,29184,3.809999943,2,"M",1963,1,1,5,"in office",2,4,22517,75,16094.86218,1,0,0,0,0,0,48,0
"26","www.jccq.cn",0.563237774030354,0.11973018549747,"Chengqu","Jincheng","Shanxi","城区","晋城市",140502,"Central","District",39843,35115,593,1,4191.339904,0.829999983,1,"M",1972,1,1,2,"in office",2,4,32337,198,7598.2981,1,0,1,0,0,0,39,0
"27","www.jianggan.gov.cn",0.111964873765093,0.0834248079034029,"Jianggan","Hangzhou","Zhejiang","江干区","杭州市",330104,"East","District",6326,6046,911,1,9784.946237,2.079999924,3,"M",1963,1,1,4,"in office",2,4,69828,1062,11923.75588,1,0,0,1,0,0,48,0
"28","www.jiashan.gov.cn",0.353211009174312,0.254587155963303,"Jiashan","Jiaxing","Zhejiang","嘉善县","嘉兴市",330421,"East","County",24611,24087,436,1,59568.42105,7.179999828,3,"M",1968,3,2,4,"promotion",2,3,52143,127,63106.41529,0,1,0,1,0,0,43,1
"29","www.jmn.gov.cn",0,0,"Jeminay","Ili Kazakh","Xinjiang","吉木乃县","阿勒泰地区",654326,"West","County",4618,4327,593,1,8775,5.090000153,2,"M",1969,2,3,NA,"in office",1,3,19479,12,2735.70814,0,0,0,0,1,0,42,0
"30","www.jxdy.gov.cn",0.251859723698193,0.14346439957492,"Dayu","Ganzhou","Jiangxi","大余县","赣州市",360723,"Central","County",9000,8765,941,1,17503.33333,4.860000134,2,"M",1964,1,1,4,"in office",2,3,13322,46,15729.78776,1,0,0,0,0,0,47,0
"31","www.jyszfw.gov.cn",0.294797687861272,0.190751445086705,"Jianyang","Nanping","Fujian","建阳市","南平市",350784,"East","County",23641,23394,346,1,19581.12094,3.609999895,2,"M",NA,2,3,NA,"in office",2,4,26279,78,13979.88178,0,0,0,0,0,0,NA,0
"32","www.jyx.gov.cn",0.12993762993763,0.153846153846154,"Jiayin","Yichun","Heilongjiang","嘉荫县","伊春市",230722,"Central","County",5033,4052,962,1,20000,4.550000191,3,"M",1963,2,2,5,"in office",1,5,15924,11,6234.335624,0,0,0,1,1,0,48,0
"34","www.lc.hh.gov.cn",0,0,"Luchun","Honghe","Yunnan","绿春县","红河哈尼族彝族自治州",532531,"West","County",1291,1141,188,1,4122.727273,17.21999931,2,"M",1963,2,2,4,"in office",2,4,14546,28,4759.693732,0,0,0,0,0,0,48,0
"35","www.longchang.gov.cn",0.170757737459979,0.463180362860192,"Longchang","Neijiang","Sichuan","隆昌县","内江市",511028,"West","County",28332,28130,937,1,13075.64103,5.800000191,3,"M",1971,2,3,3,"in office",3,3,18022,86,32937.70022,0,0,0,1,0,1,40,0
